time,accx,accy,accz
10,-142.00,132.00,70.00
15,-110.00,154.00,6.00
20,-158.00,170.00,62.00
25,-194.00,148.00,80.00
30,-156.00,180.00,56.00
35,-140.00,128.00,-26.00
40,-118.00,138.00,58.00
45,-114.00,122.00,102.00
50,-158.00,96.00,102.00
55,-140.00,150.00,132.00
60,-132.00,110.00,22.00
65,-154.00,174.00,56.00
70,-168.00,158.00,50.00
75,-150.00,120.00,-52.00
80,-192.00,140.00,126.00
85,-136.00,164.00,62.00
90,-100.00,126.00,58.00
95,-126.00,152.00,90.00
100,-112.00,112.00,-44.00
105,-162.00,138.00,36.00
110,-134.00,146.00,16.00
115,-88.00,166.00,40.00
120,-106.00,126.00,64.00
125,-172.00,172.00,14.00
130,-122.00,132.00,42.00
135,-182.00,168.00,48.00
140,-154.00,174.00,50.00
145,-200.00,114.00,18.00
150,-124.00,148.00,22.00
155,-174.00,162.00,12.00
160,-132.00,192.00,40.00
165,-74.00,172.00,72.00
170,-120.00,180.00,56.00
175,-178.00,208.00,-20.00
180,-148.00,148.00,22.00
185,-154.00,182.00,32.00
190,-146.00,136.00,70.00
195,-156.00,176.00,-66.00
200,-102.00,154.00,0.00
205,-122.00,222.00,-20.00
210,-138.00,142.00,14.00
215,-138.00,124.00,84.00
220,-148.00,176.00,-70.00
225,-126.00,106.00,38.00
230,-100.00,70.00,30.00
235,-128.00,132.00,36.00
240,-156.00,168.00,132.00
245,-120.00,200.00,-16.00
250,-162.00,164.00,80.00
255,-136.00,152.00,106.00
260,-154.00,154.00,84.00
265,-142.00,142.00,70.00
270,-164.00,164.00,28.00
275,-112.00,124.00,6.00
280,-166.00,100.00,72.00
285,-178.00,178.00,4.00
290,-178.00,122.00,40.00
295,-102.00,104.00,42.00
300,-110.00,128.00,22.00
305,-142.00,94.00,48.00
310,-126.00,174.00,52.00
315,-112.00,112.00,52.00
320,-226.00,1092.00,-542.00
325,-1610.00,-136.00,1504.00
330,492.00,-1688.00,-2728.00
335,386.00,706.00,-188.00
340,-272.00,1216.00,1366.00
345,-348.00,786.00,274.00
350,-256.00,-252.00,-502.00
355,-190.00,-432.00,-264.00
360,-114.00,396.00,122.00
365,-74.00,438.00,214.00
370,-22.00,-84.00,120.00
375,-144.00,-68.00,-28.00
380,-206.00,322.00,38.00
385,-222.00,272.00,-44.00
390,-132.00,36.00,20.00
395,-114.00,54.00,50.00
400,-124.00,238.00,32.00
405,-136.00,188.00,158.00
410,-146.00,84.00,34.00
415,-168.00,88.00,108.00
420,-166.00,152.00,56.00
425,-150.00,196.00,10.00
430,-118.00,144.00,24.00
435,-118.00,136.00,136.00
440,-146.00,120.00,48.00
445,-176.00,142.00,66.00
450,-174.00,180.00,86.00
455,-144.00,130.00,64.00
460,-190.00,148.00,-46.00
465,-104.00,164.00,36.00
470,-116.00,116.00,62.00
475,-176.00,126.00,74.00
480,-114.00,144.00,58.00
485,-230.00,132.00,10.00
490,-158.00,178.00,34.00
495,-208.00,184.00,108.00
500,-130.00,162.00,56.00
505,-186.00,246.00,30.00
510,-82.00,132.00,36.00
515,-176.00,230.00,-28.00
520,-194.00,200.00,14.00
525,-150.00,104.00,140.00
530,-144.00,134.00,10.00
535,-206.00,56.00,74.00
540,-244.00,60.00,376.00
545,-124.00,100.00,14.00
550,-164.00,114.00,6.00
555,-154.00,118.00,72.00
560,-180.00,118.00,158.00
565,-134.00,152.00,112.00
570,-170.00,96.00,112.00
575,-182.00,138.00,38.00
580,-118.00,130.00,92.00
585,-196.00,132.00,300.00
590,-100.00,-68.00,162.00
595,-188.00,-42.00,-48.00
600,-138.00,412.00,-60.00
605,-146.00,366.00,210.00
610,-222.00,-22.00,36.00
615,-204.00,2.00,-86.00
620,-154.00,194.00,144.00
625,-66.00,194.00,192.00
630,-150.00,144.00,0.00
635,-216.00,56.00,26.00
640,-162.00,110.00,16.00
645,-156.00,150.00,34.00
650,-158.00,142.00,48.00
655,-166.00,126.00,42.00
660,-150.00,160.00,82.00
665,-160.00,190.00,86.00
670,-128.00,118.00,102.00
675,-130.00,98.00,150.00
680,-114.00,48.00,162.00
685,-162.00,160.00,22.00
690,-178.00,118.00,12.00
695,-174.00,216.00,144.00
700,-200.00,216.00,78.00
705,-188.00,146.00,22.00
710,-188.00,178.00,32.00
715,-104.00,158.00,42.00
720,-124.00,178.00,12.00
725,-180.00,226.00,16.00
730,-122.00,200.00,104.00
735,-146.00,158.00,0.00
740,-136.00,128.00,76.00
745,-88.00,154.00,110.00
750,-54.00,110.00,62.00
755,-10.00,92.00,146.00
760,62.00,118.00,26.00
765,34.00,66.00,64.00
770,154.00,34.00,70.00
775,216.00,26.00,60.00
780,200.00,-64.00,188.00
785,254.00,-12.00,-8.00
790,230.00,-194.00,180.00
795,348.00,-268.00,96.00
800,244.00,-314.00,152.00
805,142.00,-188.00,114.00
810,56.00,-144.00,20.00
815,-58.00,-248.00,-22.00
820,-126.00,-198.00,78.00
825,-258.00,-46.00,158.00
830,-112.00,0.00,32.00
835,-38.00,-50.00,56.00
840,58.00,-112.00,112.00
845,46.00,-290.00,60.00
850,-34.00,-324.00,152.00
855,78.00,-116.00,186.00
860,102.00,-26.00,-118.00
865,32.00,-470.00,118.00
870,-34.00,-32.00,-156.00
875,32.00,-468.00,124.00
880,90.00,-48.00,-114.00
885,-160.00,-808.00,224.00
890,-576.00,-466.00,164.00
895,-456.00,-452.00,94.00
900,-252.00,-342.00,-206.00
905,-448.00,-402.00,68.00
910,-342.00,-606.00,254.00
915,-438.00,-464.00,-206.00
920,-372.00,-672.00,-20.00
925,-212.00,-552.00,148.00
930,-376.00,-556.00,160.00
935,-674.00,-622.00,72.00
940,-414.00,-560.00,-108.00
945,-410.00,-396.00,-110.00
950,-386.00,-596.00,20.00
955,-504.00,-474.00,-102.00
960,-376.00,-616.00,-270.00
965,-246.00,-438.00,-48.00
970,-396.00,-612.00,240.00
975,-246.00,-596.00,222.00
980,-316.00,-220.00,-288.00
985,-350.00,-558.00,-106.00
990,-250.00,-346.00,274.00
995,-634.00,-468.00,-14.00
1000,-348.00,-396.00,-216.00
1005,-236.00,-280.00,20.00
1010,-308.00,-336.00,-402.00
1015,-184.00,-282.00,122.00
1020,-360.00,-54.00,276.00
1025,-332.00,-346.00,486.00
1030,-188.00,-208.00,-556.00
1035,-412.00,-124.00,852.00
1040,234.00,128.00,-492.00
1045,-170.00,2.00,654.00
1050,-150.00,-80.00,182.00
1055,-126.00,2.00,378.00
1060,-10.00,-50.00,60.00
1065,-230.00,222.00,-52.00
1070,362.00,598.00,-268.00
1075,292.00,206.00,168.00
1080,206.00,516.00,74.00
1085,242.00,250.00,148.00
1090,292.00,424.00,136.00
1095,80.00,308.00,10.00
1100,-64.00,292.00,-62.00
1105,288.00,378.00,-96.00
1110,12.00,230.00,28.00
1115,-128.00,252.00,-168.00
1120,-40.00,278.00,-106.00
1125,-30.00,50.00,106.00
1130,-38.00,0.00,376.00
1135,-292.00,254.00,-66.00
1140,-46.00,94.00,214.00
1145,-210.00,312.00,-360.00
1150,10.00,108.00,-100.00
1155,-122.00,334.00,-352.00
1160,2.00,348.00,-10.00
1165,-122.00,362.00,-96.00
1170,8.00,128.00,192.00
1175,-20.00,364.00,194.00
1180,168.00,518.00,-72.00
1185,36.00,104.00,86.00
1190,156.00,450.00,226.00
1195,188.00,212.00,-136.00
1200,92.00,162.00,-170.00
1205,6.00,318.00,60.00
1210,48.00,44.00,304.00
1215,-78.00,156.00,-98.00
1220,-32.00,0.00,-116.00
1225,-236.00,48.00,124.00
1230,-88.00,-98.00,582.00
1235,-248.00,284.00,136.00
1240,-54.00,300.00,-182.00
1245,-102.00,214.00,-238.00
1250,-110.00,578.00,-308.00
1255,322.00,548.00,-200.00
1260,96.00,562.00,-356.00
1265,-58.00,312.00,8.00
1270,-98.00,118.00,60.00
1275,-166.00,302.00,116.00
1280,8.00,318.00,152.00
1285,-394.00,126.00,0.00
1290,-130.00,294.00,76.00
1295,-162.00,110.00,498.00
1300,-166.00,72.00,140.00
1305,-294.00,156.00,154.00
1310,-374.00,72.00,0.00
1315,-148.00,-126.00,134.00
1320,-160.00,-160.00,-30.00
1325,-232.00,-126.00,32.00
1330,-504.00,-114.00,192.00
1335,-388.00,-276.00,-128.00
1340,-400.00,-88.00,230.00
1345,-270.00,-106.00,578.00
1350,-336.00,392.00,102.00
1355,-526.00,24.00,160.00
1360,-580.00,214.00,140.00
1365,-344.00,244.00,164.00
1370,-312.00,340.00,98.00
1375,-390.00,384.00,-160.00
1380,-254.00,622.00,132.00
1385,-144.00,396.00,122.00
1390,-72.00,582.00,-70.00
1395,-264.00,490.00,278.00
1400,302.00,770.00,-172.00
1405,14.00,1130.00,14.00
1410,92.00,1126.00,8.00
1415,302.00,1072.00,-80.00
1420,104.00,1216.00,416.00
1425,50.00,1180.00,-78.00
1430,152.00,1386.00,92.00
1435,106.00,1444.00,-210.00
1440,234.00,1576.00,224.00
1445,238.00,1438.00,52.00
1450,136.00,1594.00,-58.00
1455,268.00,1306.00,-132.00
1460,286.00,1454.00,-144.00
1465,-168.00,1164.00,-6.00
1470,116.00,1240.00,234.00
1475,-112.00,822.00,212.00
1480,-120.00,1182.00,160.00
1485,-140.00,988.00,12.00
1490,-184.00,1024.00,40.00
1495,-262.00,1024.00,14.00
1500,-348.00,666.00,-224.00
1505,-422.00,604.00,20.00
1510,-390.00,526.00,126.00
1515,-390.00,270.00,-48.00
1520,-326.00,342.00,190.00
1525,-404.00,406.00,-26.00
1530,-524.00,326.00,-16.00
1535,-512.00,270.00,114.00
1540,-598.00,312.00,30.00
1545,-354.00,318.00,146.00
1550,-440.00,278.00,16.00
1555,-258.00,272.00,42.00
1560,-274.00,286.00,-92.00
1565,-250.00,176.00,8.00
1570,-156.00,182.00,94.00
1575,-336.00,-56.00,32.00
1580,-194.00,90.00,2.00
1585,-306.00,-52.00,-34.00
1590,-210.00,-110.00,156.00
1595,-70.00,22.00,42.00
1600,-212.00,-92.00,-40.00
1605,-164.00,-66.00,68.00
1610,-46.00,-62.00,20.00
1615,-374.00,-204.00,108.00
1620,-344.00,-80.00,10.00
1625,-266.00,-248.00,114.00
1630,-396.00,-92.00,-46.00
1635,-356.00,128.00,136.00
1640,-456.00,-40.00,24.00
1645,-488.00,14.00,158.00
1650,-280.00,314.00,-16.00
1655,-284.00,262.00,80.00
1660,-122.00,94.00,42.00
1665,-72.00,104.00,144.00
1670,-82.00,128.00,70.00
1675,-202.00,324.00,-74.00
1680,-244.00,488.00,-164.00
1685,-184.00,316.00,-20.00
1690,-382.00,180.00,216.00
1695,-162.00,464.00,20.00
1700,-338.00,334.00,-120.00
1705,-224.00,376.00,174.00
1710,-360.00,-88.00,212.00
1715,-422.00,146.00,-102.00
1720,-248.00,-30.00,292.00
1725,-274.00,252.00,-102.00
1730,-214.00,38.00,136.00
1735,-220.00,156.00,-104.00
1740,-276.00,106.00,408.00
1745,-282.00,252.00,44.00
1750,-330.00,160.00,70.00
1755,-150.00,192.00,-12.00
1760,-118.00,186.00,-206.00
1765,-132.00,118.00,90.00
1770,-256.00,206.00,30.00
1775,-218.00,186.00,-48.00
1780,-170.00,190.00,-96.00
1785,-264.00,-136.00,100.00
1790,-380.00,-122.00,252.00
1795,-340.00,-38.00,-32.00
1800,-406.00,-58.00,150.00
1805,-392.00,-128.00,374.00
1810,28.00,476.00,-244.00
1815,-54.00,-80.00,82.00
1820,146.00,454.00,-44.00
1825,-356.00,-398.00,208.00
1830,30.00,418.00,52.00
1835,-214.00,76.00,336.00
1840,-248.00,20.00,-74.00
1845,-196.00,-16.00,520.00
1850,-316.00,84.00,-294.00
1855,-178.00,-302.00,162.00
1860,-238.00,226.00,-106.00
1865,-562.00,-468.00,-212.00
1870,-596.00,-180.00,-94.00
